Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Dec  1 23:39 2025
Time: 715 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001000101
Time: 725 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001000110
Time: 735 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001000111
Time: 745 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001000
Time: 755 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001001
Time: 765 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001010
Time: 775 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001011
Time: 785 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001100
Time: 795 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001101
Time: 805 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001110
Time: 815 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001001111
Time: 825 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010000
Time: 835 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010001
Time: 845 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010010
Time: 855 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010011
Time: 865 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010100
Time: 875 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010101
Time: 885 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010110
Time: 895 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001010111
Time: 905 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00001011000
